Video_Image,Video_Author,Video_ID,Video_title,Video_Skill
https://i.ytimg.com/vi/spXCsHu7Kh4/mqdefault.jpg,Sazali Mohd Taib,spXCsHu7Kh4,how to build high performance teams-team building Malaysia,Team_Building
https://i.ytimg.com/vi/TCDSqBfY6Fk/mqdefault.jpg,Vivek Bindra: Motivational Speaker,TCDSqBfY6Fk,Team Building Activities and Games for Employees in India Global ACT,Team_Building
https://i.ytimg.com/vi/29JkqaNcPng/mqdefault.jpg,ehowfinance,29JkqaNcPng,Team Building Activities Using Marshmallows & Toothpicks : Improving Your Workplace,Team_Building
https://i.ytimg.com/vi/zhV5BCIkIig/mqdefault.jpg,About.com,zhV5BCIkIig,5 Effective Team Building Exercises,Team_Building
https://i.ytimg.com/vi/-mUcieD09Nk/mqdefault.jpg,Angie Tonini-Rogers,-mUcieD09Nk,Fun Team Building Activities to get your Staff Energized| How To Engage Staff Meetings,Team_Building
https://i.ytimg.com/vi/Q3KHVnKeMp8/mqdefault.jpg,MoraleSolutions,Q3KHVnKeMp8,Teambuilding - Tower Build,Team_Building
https://i.ytimg.com/vi/mLJ34L5UW4E/mqdefault.jpg,virtualstrategist,mLJ34L5UW4E,"What is Strategic Planning, Really?",Strategic_Planning
https://i.ytimg.com/vi/t_2HrZ_t-bU/mqdefault.jpg,virtualstrategist,t_2HrZ_t-bU,Strategic Planning Retreats,Strategic_Planning
https://i.ytimg.com/vi/M1qeFRzlZH4/mqdefault.jpg,Cate Costa,M1qeFRzlZH4,How to Create a Strategic Plan for Your Startup or Small Business,Strategic_Planning
https://i.ytimg.com/vi/9XeitSMmBYY/mqdefault.jpg,Great Business Videos for Great Entrepreneurs - SelfLearnEN,9XeitSMmBYY,How to Simplify Strategic Planning,Strategic_Planning
https://i.ytimg.com/vi/ndCexCPLNdA/mqdefault.jpg,virtualstrategist,ndCexCPLNdA,The Secret to Strategic Implementation,Strategic_Planning
https://i.ytimg.com/vi/9XXmT5Bms6k/mqdefault.jpg,virtualstrategist,9XXmT5Bms6k,How to Effectively Communicate Your Strategy,Strategic_Planning
https://i.ytimg.com/vi/x7YLNI8S7F8/mqdefault.jpg,NetEkspert,x7YLNI8S7F8,How to Create a Strategic Plan With a Template,Strategic_Planning
https://i.ytimg.com/vi/O1OQT-LEb9k/mqdefault.jpg,Brian Tracy,O1OQT-LEb9k,The Keys to Strategic Planning in Sales,Strategic_Planning
https://i.ytimg.com/vi/azrUt008Uf0/mqdefault.jpg,60MSP,azrUt008Uf0,Fly to the Sun Strategic Planning Animated Video,Strategic_Planning
https://i.ytimg.com/vi/Yj28JbQs05A/mqdefault.jpg,Great Business Videos for Great Entrepreneurs - SelfLearnEN,Yj28JbQs05A,Building a Solid Business Strategy,Strategic_Planning
https://i.ytimg.com/vi/Lpg8UuS3pFg/mqdefault.jpg,Rick Houcek,Lpg8UuS3pFg,5 Benefits of Strategic Planning,Strategic_Planning
https://i.ytimg.com/vi/nKXXcrTTZU0/mqdefault.jpg,virtualstrategist,nKXXcrTTZU0,Common Strategic Planning Pitfalls,Strategic_Planning
